brand_name,model_name,price,CC,mileage,type_of_bike,weight_in_kg,top_speed,Torque (Nm),Power (bHP),links
BMW,F900R,1080000,895,24,Petrol Bike,211,193,,,https://www.carandbike.com/bmw-bikes/f900r
Harley-Davidson,1200 custom,1089000,1202,24,Petrol Bike,268,242,,,https://www.carandbike.com/harley-davidson-bikes/1200-custom
Triumph,Tiger-850 sport,1195000,888,24,Petrol Bike,192,250,,,https://www.carandbike.com/triumph-bikes/tiger-850-sport
Triumph ,Bonneville bobber,1225000,1200,24,Petrol Bike,251,231,,,https://www.carandbike.com/triumph-bikes/bonneville-bobber
BMW,F900Xr,1230000,895,24,Petrol Bike,219,203,,,https://www.carandbike.com/bmw-bikes/f900xr
Ducati,Multistrada-1200 enduro,1799000,1198.4,24,Petrol Bike,254,211,,,https://www.carandbike.com/ducati-bikes/multistrada-1200-enduro
Kawasaki,Ninja-Zx 6r,1049000,636,23.59,Petrol Bike,196,296,,,https://www.carandbike.com/kawasaki-bikes/ninja-zx-6r
Triumph,Speedmaster,1195000,1200,23.25,Petrol Bike,263,183,,,https://www.carandbike.com/triumph-bikes/speedmaster
Kawasaki,Z650Rs,672000,649,23.2,Petrol Bike,192,230,,,https://www.carandbike.com/kawasaki-bikes/z650rs
Kawasaki,Vulcan s,616000,649,23,Petrol Bike,235,189,,,https://www.carandbike.com/kawasaki-bikes/vulcan-s
Kawasaki,Klx 450r,899000,449,23,Petrol Bike,126,213,,,https://www.carandbike.com/kawasaki-bikes/klx-450r
KTM,790 duke,863945,799,22.72,Petrol Bike,169,222,,,https://www.carandbike.com/ktm-bikes/790-duke
Kawasaki,Versys-X 300,469000,296,22,Petrol Bike,184,241,,,https://www.carandbike.com/kawasaki-bikes/versys-x-300
Triumph,Tiger-Sport 660,895000,660,22,Petrol Bike,206,143,,,https://www.carandbike.com/triumph-bikes/tiger-sport-660
BMW,750 gs,899000,853,22,Petrol Bike,224,184,,,https://www.carandbike.com/bmw-bikes/750-gs
BMW,850 gs,1250000,853,22,Petrol Bike,229,193,,,https://www.carandbike.com/bmw-bikes/850-gs
Triumph,Speed-Triple-1200 rs,1695000,1160,22,Petrol Bike,198,242,,,https://www.carandbike.com/triumph-bikes/speed-triple-1200-rs
BMW,R-Nine t,1850000,1170,22,Petrol Bike,208,250,,,https://www.carandbike.com/bmw-bikes/r-nine-t
CFMoto ,650Nk,429000,649,21,Petrol Bike,206,231,,,https://www.carandbike.com/cfmoto-bikes/650nk
Kawasaki,Ninja 650,668000,649,21,Petrol Bike,196,203,,,https://www.carandbike.com/kawasaki-bikes/ninja-650
Triumph,Thruxton r,1192000,1200,21,Petrol Bike,203,211,,,https://www.carandbike.com/triumph-bikes/thruxton-r
BMW,R-1250 r,1625000,1254,21,Petrol Bike,239,296,,,https://www.carandbike.com/bmw-bikes/r-1250-r
BMW,S-1000 r,1790000,999,21,Petrol Bike,199,183,,,https://www.carandbike.com/bmw-bikes/s-1000-r
BMW,R-1250 gs,2045000,1254,21,Petrol Bike,249,230,,,https://www.carandbike.com/bmw-bikes/r-1250-gs
BMW ,R-1250-Gs adventure,2240000,1254,21,Petrol Bike,268,189,,,https://www.carandbike.com/bmw-bikes/r-1250-gs-adventure
BMW,R-1250 rt,2250000,1254,21,Petrol Bike,279,213,,,https://www.carandbike.com/bmw-bikes/r-1250-rt
Triumph ,Speed twin,1099000,1200,20.8,Petrol Bike,216,222,,,https://www.carandbike.com/triumph-bikes/speed-twin
Triumph ,Scrambler 1200,1073000,1200,20.4,Petrol Bike,225,241,,,https://www.carandbike.com/triumph-bikes/scrambler-1200
Aprilia,Tuono 660,1309000,659,20.4,Petrol Bike,183,143,,,https://www.carandbike.com/aprilia-bikes/tuono-660
Aprilia,Rs 660,1339000,659,20.4,Petrol Bike,183,184,,,https://www.carandbike.com/aprilia-bikes/rs-660
Moto Guzzi,V85 tt,1540000,853,20.4,Petrol Bike,229,193,,,https://www.carandbike.com/moto-guzzi-bikes/v85-tt
Honda ,Crf1100L-Africa twin,1601500,1084,20.4,Petrol Bike,239,242,,,https://www.carandbike.com/honda-bikes/crf1100l-africa-twin
Benelli,Bn 302r,310000,300,20,Petrol Bike,198,250,,,https://www.carandbike.com/benelli-bikes/bn-302r
Benelli,502C ,498000,500,20,Petrol Bike,216,231,,,https://www.carandbike.com/benelli-bikes/502c
CFMoto,650Mt ,529000,649,20,Petrol Bike,218,203,,,https://www.carandbike.com/cfmoto-bikes/650mt
CFMoto 650GT,650Gt,559000,649.3,20,Petrol Bike,226,211,,,https://www.carandbike.com/cfmoto-bikes/650gt
Kawasaki,Versys 650,715000,649,20,Petrol Bike,216,296,,,https://www.carandbike.com/kawasaki-bikes/versys-650
Ducati ,Scrambler,799000,803,20,Petrol Bike,173,183,,,https://www.carandbike.com/ducati-bikes/scrambler
Harley-Davidson,Iron 883,938000,883,20,Petrol Bike,256,230,,,https://www.carandbike.com/harley-davidson-bikes/iron-883
Ducati,Scrambler-Desert sled,980000,803,20,Petrol Bike,191,189,,,https://www.carandbike.com/ducati-bikes/scrambler-desert-sled
Harley-Davidson,Forty eight,1061000,1202,20,Petrol Bike,252,213,,,https://www.carandbike.com/harley-davidson-bikes/forty-eight
Harley-Davidson,Roadster,1099000,1202,20,Petrol Bike,250,222,,,https://www.carandbike.com/harley-davidson-bikes/roadster
Ducati,Hypermotard,1112000,937,20,Petrol Bike,204,241,,,https://www.carandbike.com/ducati-bikes/hypermotard
Ducati ,Hyperstrada,1215000,937,20,Petrol Bike,210,143,,,https://www.carandbike.com/ducati-bikes/hyperstrada
Ducati ,Supersport,1349000,937,20,Petrol Bike,210,184,,,https://www.carandbike.com/ducati-bikes/supersport
BMW,R-1200 r,1505000,1170,20,Petrol Bike,232,193,,,https://www.carandbike.com/bmw-bikes/r-1200-r
BMW,R-1200 rs,1555000,1170,20,Petrol Bike,236,242,,,https://www.carandbike.com/bmw-bikes/r-1200-rs
Kawasaki,Z900Rs,1570000,948,20,Petrol Bike,215,250,,,https://www.carandbike.com/kawasaki-bikes/z900rs
BMW,R-Ninet scrambler,1675000,1197,20,Petrol Bike,220,231,,,https://www.carandbike.com/bmw-bikes/r-ninet-scrambler
BMW,R-1200-Gs adventure,1725000,1170,20,Petrol Bike,263,203,,,https://www.carandbike.com/bmw-bikes/r-1200-gs-adventure
BMW,R-1200 rt,1835000,1170,20,Petrol Bike,276,211,,,https://www.carandbike.com/bmw-bikes/r-1200-rt
Yamaha,Yzf r1,2039233,998,20,Petrol Bike,200,296,,,https://www.carandbike.com/yamaha-bikes/yzf-r1
Indian,Chief-Dark horse,2075922,1890,20,Petrol Bike,304,183,,,https://www.carandbike.com/indian-bikes/chief-dark-horse
Indian,Chief classic,2129500,1811,20,Petrol Bike,357,230,,,https://www.carandbike.com/indian-bikes/chief-classic
BMW,S-1000 xr,2130000,999,20,Petrol Bike,216,189,,,https://www.carandbike.com/bmw-bikes/s-1000-xr
Indian,Chief-Bobber-Dark horse,2139925,1890,20,Petrol Bike,315,213,,,https://www.carandbike.com/indian-bikes/chief-bobber-dark-horse
Indian,Chief vintage,2532500,1811,20,Petrol Bike,379,222,,,https://www.carandbike.com/indian-bikes/chief-vintage
Indian,Chieftain,3201000,1811,20,Petrol Bike,389,241,,,https://www.carandbike.com/indian-bikes/chieftain
Ducati,Scrambler 1100,1099000,1079,19.2,Petrol Bike,189,143,,,https://www.carandbike.com/ducati-bikes/scrambler-1100
Ducati,Multistrada 1260,1599000,1262,19.2,Petrol Bike,232,184,,,https://www.carandbike.com/ducati-bikes/multistrada-1260
Triumph,Street triple,915000,765,19.1,Petrol Bike,166,193,,,https://www.carandbike.com/triumph-bikes/street-triple
Benelli,Tnt 600i,620000,600,19,Petrol Bike,231,242,,,https://www.carandbike.com/benelli-bikes/tnt-600i
Yamaha,Mt 09,1055354,847,19,Petrol Bike,193,250,,,https://www.carandbike.com/yamaha-bikes/mt-09
Avantura Choppers,Rudra,2390000,2025.7,19,Petrol Bike,344,231,,,https://www.carandbike.com/avantura-choppers-bikes/rudra
Ducati,Monster 797,803000,803,18.86,Petrol Bike,193,203,,,https://www.carandbike.com/ducati-bikes/monster-797
Ducati,Monster,1099000,937,18.8,Petrol Bike,188,211,,,https://www.carandbike.com/ducati-bikes/monster
Ducati,Diavel 1260,1849000,1262,18.5,Petrol Bike,244,296,,,https://www.carandbike.com/ducati-bikes/diavel-1260
Kawasaki,z650,624000,649,18,Petrol Bike,186,183,,,https://www.carandbike.com/kawasaki-bikes/z650
Triumph,Street twin,795000,900,18,Petrol Bike,216,230,,,https://www.carandbike.com/triumph-bikes/street-twin
Triumph,Street scrambler,935000,900,18,Petrol Bike,223,189,,,https://www.carandbike.com/triumph-bikes/street-scrambler
Triumph,Bonneville t120,1099000,1200,18,Petrol Bike,217,213,,,https://www.carandbike.com/triumph-bikes/bonneville-t120
Honda ,Cb1000R plus,1446657,998,18,Petrol Bike,213,222,,,https://www.carandbike.com/honda-bikes/cb1000r-plus
Ducati ,959 panigale,1469000,955,18,Petrol Bike,200,241,,,https://www.carandbike.com/ducati-bikes/959-panigale
Moto Guzzi ,V9 roamer,1479000,850,18,Petrol Bike,199,143,,,https://www.carandbike.com/moto-guzzi-bikes/v9-roamer
Moto Guzzi,V9 bobber,1479000,850,18,Petrol Bike,199,184,,,https://www.carandbike.com/moto-guzzi-bikes/v9-bobber
Ducati ,Multistrada 1200,1532000,1198.4,18,Petrol Bike,232,193,,,https://www.carandbike.com/ducati-bikes/multistrada-1200
BMW,R 1200,1585000,1170,18,Petrol Bike,244,242,,,https://www.carandbike.com/bmw-bikes/r-1200
Indian,Ftr 1200,1599000,1203,18,Petrol Bike,218,250,,,https://www.carandbike.com/indian-bikes/ftr-1200
Honda,Cbr 1000rr,1643309,999,18,Petrol Bike,195,231,,,https://www.carandbike.com/honda-bikes/cbr-1000rr
Harley-Davidson,Pan-America 1250,1690000,1252,18,Petrol Bike,242,203,,,https://www.carandbike.com/harley-davidson-bikes/pan-america-1250
MV Agusta,Brutale 800,1698553,798,18,Petrol Bike,175,211,,,https://www.carandbike.com/mv-agusta-bikes/brutale-800
Triumph,Tiger 1200,1919000,1160,18,Petrol Bike,245,296,,,https://www.carandbike.com/triumph-bikes/tiger-1200
Kawasaki,Ninja-Zx 14r,1970000,1441,18,Petrol Bike,269,183,,,https://www.carandbike.com/kawasaki-bikes/ninja-zx-14r
MV Agusta,Brutale-800 rr,2052356,798,18,Petrol Bike,175,230,,,https://www.carandbike.com/mv-agusta-bikes/brutale-800-rr
Avantura Choppers,Pravega bikes,2140000,2025.7,18,Petrol Bike,347,189,,,https://www.carandbike.com/avantura-choppers-bikes/pravega
Indian ,Chieftain-Dark horse,2999000,1811,18,Petrol Bike,377,213,,,https://www.carandbike.com/indian-bikes/chieftain-dark-horse
Indian ,Chieftain elite,3800000,1811,18,Petrol Bike,388,222,,,https://www.carandbike.com/indian-bikes/chieftain-elite
BMW,R 18,1990000,1802,17.8,Petrol Bike,345,241,,,https://www.carandbike.com/bmw-bikes/r-18
Kawasaki,Ninja 1000,1151000,1043,17,Petrol Bike,238,143,,,https://www.carandbike.com/kawasaki-bikes/ninja-1000
Triumph,Tiger 900,1370000,888,17,Petrol Bike,194,184,,,https://www.carandbike.com/triumph-bikes/tiger-900
BMW,S-1000 rr,1950000,999,17,Petrol Bike,197,193,,,https://www.carandbike.com/bmw-bikes/s-1000-rr
MV Agusta,Turismo-Veloce 800,2080665,798,17,Petrol Bike,191,242,,,https://www.carandbike.com/mv-agusta-bikes/turismo-veloce-800
Harley-Davidson,Road king,2499000,1745,17,Petrol Bike,362,250,,,https://www.carandbike.com/harley-davidson-bikes/road-king
Honda,Crf1000L-Africa twin,1350000,999.1,16,Petrol Bike,243,231,,,https://www.carandbike.com/honda-bikes/crf1000l-africa-twin
Ducati ,Multistrada v2,1465000,937,16,Petrol Bike,230,203,,,https://www.carandbike.com/ducati-bikes/multistrada-v2
Ducati,Multistrada 950,1549000,937,16,Petrol Bike,230,211,,,https://www.carandbike.com/ducati-bikes/multistrada-950
Ducati,Panigale v2,1748826,955,16,Petrol Bike,197,296,,,https://www.carandbike.com/ducati-bikes/panigale-v2
BMW,M-1000 rr,4200000,999,15.4,Petrol Bike,192,183,,,https://www.carandbike.com/bmw-bikes/m-1000-rr
Kawasaki,z900,850000,948,15,Petrol Bike,208,230,,,https://www.carandbike.com/kawasaki-bikes/z900
Harley-Davidson,Street bob,1259000,1745,15,Petrol Bike,286,189,,,https://www.carandbike.com/harley-davidson-bikes/street-bob
Harley-Davidson,Softail-Low rider,1375000,1745,15,Petrol Bike,300,213,,,https://www.carandbike.com/harley-davidson-bikes/softail-low-rider
Harley-Davidson,Fat bob,1459000,1745,15,Petrol Bike,296,222,,,https://www.carandbike.com/harley-davidson-bikes/fat-bob
Kawasaki,z1000,1510000,1043,15,Petrol Bike,221,241,,,https://www.carandbike.com/kawasaki-bikes/z1000
Kawasaki,Ninja-Zx 10r,1537000,998,15,Petrol Bike,206,143,,,https://www.carandbike.com/kawasaki-bikes/ninja-zx-10r
Kawasaki,z1000r,1610000,1043,15,Petrol Bike,221,184,,,https://www.carandbike.com/kawasaki-bikes/z1000r
Ducati ,xdiavel,1648000,1262,15,Petrol Bike,247,193,,,https://www.carandbike.com/ducati-bikes/xdiavel
Kawasaki,Ninja-Zx 10rr,1698000,998,15,Petrol Bike,206,242,,,https://www.carandbike.com/kawasaki-bikes/ninja-zx-10rr
Harley-Davidson,Fat boy,1825000,1868,15,Petrol Bike,304,250,,,https://www.carandbike.com/harley-davidson-bikes/fat-boy
Harley-Davidson,Softail deluxe,1865000,1745,15,Petrol Bike,316,231,,,https://www.carandbike.com/harley-davidson-bikes/softail-deluxe
Harley-Davidson,Heritage-Softail classic,1971000,1745,15,Petrol Bike,316,203,,,https://www.carandbike.com/harley-davidson-bikes/heritage-softail-classic
Ducati ,Monster 1200,2010000,1198,15,Petrol Bike,211,211,,,https://www.carandbike.com/ducati-bikes/monster-1200
MV Agusta,Brutale 1090,2102268,1078,15,Petrol Bike,183,296,,,https://www.carandbike.com/mv-agusta-bikes/brutale-1090
Kawasaki,Z h2,2190000,998,15,Petrol Bike,239,183,,,https://www.carandbike.com/kawasaki-bikes/z-h2
Kawasaki ,Ninja-H2 sx,2289000,998,15,Petrol Bike,256,230,,,https://www.carandbike.com/kawasaki-bikes/ninja-h2-sx
Moto Guzzi ,Audace,2314000,1380,15,Petrol Bike,299,189,,,https://www.carandbike.com/moto-guzzi-bikes/audace
BMW,K-1600 b,2810000,1649,15,Petrol Bike,350,213,,,https://www.carandbike.com/bmw-bikes/k-1600-b
Kawasaki,Ninja-H2-Sx se,2819000,998,15,Petrol Bike,260,222,,,https://www.carandbike.com/kawasaki-bikes/ninja-h2-sx-se
BMW,K 1600,2830000,1649,15,Petrol Bike,350,241,,,https://www.carandbike.com/bmw-bikes/k-1600
Moto Guzzi,Mgx 21,3026000,1380,15,Petrol Bike,341,143,,,https://www.carandbike.com/moto-guzzi-bikes/mgx-21
Harley-Davidson,Street-Glide special,3053000,1745,15,Petrol Bike,361,184,,,https://www.carandbike.com/harley-davidson-bikes/street-glide-special
Harley-Davidson,Road-Glide special,3299000,1745,15,Petrol Bike,372,193,,,https://www.carandbike.com/harley-davidson-bikes/road-glide-special
Kawasaki,Ninja h2,3499000,998,15,Petrol Bike,238,242,,,https://www.carandbike.com/kawasaki-bikes/ninja-h2
MV Agusta,F4 rr,3883000,998,15,Petrol Bike,190,250,,,https://www.carandbike.com/mv-agusta-bikes/f4-rr
Indian,Roadmaster,3900000,1811,15,Petrol Bike,421,231,,,https://www.carandbike.com/indian-bikes/roadmaster
Indian Roadmaster Elite,Roadmaster elite,4800000,1811,15,Petrol Bike,433,203,,,https://www.carandbike.com/indian-bikes/roadmaster-elite
Ducati,1299 panigale,5182000,1285,15,Petrol Bike,190,211,,,https://www.carandbike.com/ducati-bikes/1299-panigale
Kawasaki,Ninja h2r,7990000,998,15,Petrol Bike,216,296,,,https://www.carandbike.com/kawasaki-bikes/ninja-h2r
MV Agusta,Dragster-800 rr,2052356,798,14.9,Petrol Bike,168,183,,,https://www.carandbike.com/mv-agusta-bikes/dragster-800-rr
Ducati,Panigale v4,2350000,1103,14.5,Petrol Bike,195,230,,,https://www.carandbike.com/ducati-bikes/panigale-v4
Ducati,Multistrada v4,1899000,1158,14.3,Petrol Bike,232,189,,,https://www.carandbike.com/ducati-bikes/multistrada-v4
Kawasaki,W800 street,733000,773,14,Petrol Bike,221,213,,,https://www.carandbike.com/kawasaki-bikes/w800-street
Kawasaki,Versys 1000,1172000,1043,14,Petrol Bike,255,222,,,https://www.carandbike.com/kawasaki-bikes/versys-1000
Indian,Scout bobber,1199000,1133,14,Petrol Bike,245,241,,,https://www.carandbike.com/indian-bikes/scout-bobber
Aprilia,Tuono v4,2066000,1077,14,Petrol Bike,209,143,,,https://www.carandbike.com/aprilia-bikes/tuono-v4
MV Agusta,F3-800 rc,2149086,798,14,Petrol Bike,173,184,,,https://www.carandbike.com/mv-agusta-bikes/f3-800-rc
Indian,Super-Chief limited,2282155,1890,14,Petrol Bike,324,193,,,https://www.carandbike.com/indian-bikes/super-chief-limited
Moto Guzzi,Eldorado,2367000,1380,14,Petrol Bike,314,242,,,https://www.carandbike.com/moto-guzzi-bikes/eldorado
Indian,Springfield,3350000,1811,14,Petrol Bike,391,250,,,https://www.carandbike.com/indian-bikes/springfield
Honda,Gold wing,3971822,1833,14,Petrol Bike,390,231,,,https://www.carandbike.com/honda-bikes/gold-wing
Ducati,Streetfighter v4,1999000,1103,13.2,Petrol Bike,199,203,,,https://www.carandbike.com/ducati-bikes/streetfighter-v4
Ducati,Monster 821,1099000,821,13,Petrol Bike,205,211,,,https://www.carandbike.com/ducati-bikes/monster-821
Triumph,Rocket 3,1990000,2458,13,Petrol Bike,291,296,,,https://www.carandbike.com/triumph-bikes/rocket-3
BMW,K-1600 gtl,2930000,1649,13,Petrol Bike,332,183,,,https://www.carandbike.com/bmw-bikes/k-1600-gtl
Aprilia,Rsv bikes/rsv4,2369000,1099,12,Petrol Bike,202,230,,,https://www.carandbike.com/aprilia-bikes/rsv4
Harley-Davidson,Sportster s,1551000,1252,11.8,Petrol Bike,228,191,,,https://www.carandbike.com/harley-davidson-bikes/sportster-s
Suzuki,Hayabusa bikes/hayabusa,1640000,1340,11,Petrol Bike,266,312,,,https://www.carandbike.com/suzuki-bikes/hayabusa
Ducati,Hypermotard 950,1402278,937,9,Petrol Bike,176,210,,,https://www.carandbike.com/ducati-bikes/hypermotard-950
Harley-Davidson,Cvo limited,4999000,1923,8,Petrol Bike,411,253,,,https://www.carandbike.com/harley-davidson-bikes/cvo-limited
