brand_name,model_name,price,CC,mileage,type_of_bike,weight_in_kg,top_speed,links
Gravton Motors ,Quanta,99000,N/A,320,Electric Bike,100,70,https://www.carandbike.com/gravton-motors-bikes/quanta
Simple Energy ,One,109999,N/A,236,Electric Bike,110,100,https://www.carandbike.com/simple-energy-bikes/one
Okaya ,Classiq,69900,N/A,200,Electric Bike,95,25,https://www.carandbike.com/okaya-bikes/classiq
Oben Electric ,Rorr,102999,N/A,200,Electric Bike,120,100,https://www.carandbike.com/oben-electric-bikes/rorr
Ola Electric ,S1,85099,N/A,181,Electric Bike,121,116,https://www.carandbike.com/ola-electric-bikes/s1
Ola Electric ,S1 Pro,120149,N/A,181,Electric Bike,125,116,https://www.carandbike.com/ola-electric-bikes/s1-pro
Revolt ,RV300,114264,N/A,180,Electric Bike,101,65,https://www.carandbike.com/revolt-bikes/rv300
Okinawa ,Praise,71990,N/A,170,Electric Bike,96,78,https://www.carandbike.com/okinawa-bikes/praise
Hero Electric ,NYX HX,67540,N/A,165,Electric Bike,73,42,https://www.carandbike.com/hero-electric-bikes/nyx-hx
Crayon Motors ,Envy,53000,N/A,160,Electric Bike,100,25,https://www.carandbike.com/crayon-motors-bikes/envy
22Kymco ,Flow,74740,N/A,160,Electric Bike,85,60,https://www.carandbike.com/22kymco-bikes/flow
Okinawa ,Okhi 90,103866,N/A,160,Electric Bike,96,90,https://www.carandbike.com/okinawa-bikes/okhi-90
Revolt ,RV400,129463,N/A,150,Electric Bike,108,65,https://www.carandbike.com/revolt-bikes/rv400
Kabira Mobility ,KM 4000,136990,N/A,150,Electric Bike,150,120,https://www.carandbike.com/kabira-mobility-bikes/km-4000
One Moto ,Electa,199000,N/A,150,Electric Bike,115,85,https://www.carandbike.com/one-moto-bikes/electa
Odysse ,Evoqis,157000,N/A,140,Electric Bike,200,80,https://www.carandbike.com/odysse-bikes/evoqis
Okinawa ,i-Praise,108749,N/A,139,Electric Bike,150,75,https://www.carandbike.com/okinawa-bikes/i-praise
Li-ions,Elektrik Spock,65000,N/A,130,Electric Bike,90,45,https://www.carandbike.com/li-ions-elektrik-bikes/spock
Tork Motors ,Kratos,102499,N/A,120,Electric Bike,120,100,https://www.carandbike.com/tork-motors-bikes/kratos
Kabira Mobility,KM 3000,126990,N/A,120,Electric Bike,150,100,https://www.carandbike.com/kabira-mobility-bikes/km-3000
EeVe ,Soul,140000,N/A,120,Electric Bike,140,55,https://www.carandbike.com/eeve-bikes/soul
BGauss ,D15,99999,N/A,115,Electric Bike,107,60,https://www.carandbike.com/bgauss-bikes/d15
Nexzu Mobility ,Dextro,47000,N/A,110,Electric Bike,62,35,https://www.carandbike.com/nexzu-mobility-bikes/dextro
BGauss ,A2,52499,N/A,110,Electric Bike,88,25,https://www.carandbike.com/bgauss-bikes/a2
Nexzu Mobility ,Dextro+,66500,N/A,110,Electric Bike,62,35,https://www.carandbike.com/nexzu-mobility-bikes/dextro-plus
Hero Electric,Photon HX,74240,N/A,108,Electric Bike,87,45,https://www.carandbike.com/hero-electric-bikes/photon-hx
Bajaj,CT 110,46413,115,104,Petrol Bike,117,90,https://www.carandbike.com/bajaj-bikes/ct-110
Atumobile ,Atum 1.0,50000,N/A,100,Electric Bike,108,25,https://www.carandbike.com/atumobile-bikes/atum-10
Okinawa,Ridge+,64998,N/A,100,Electric Bike,96,45,https://www.carandbike.com/okinawa-bikes/ridge-plus
Boom Motors ,Corbett-14,86999,N/A,100,Electric Bike,90,55,https://www.carandbike.com/boom-motors-bikes/corbett-14
Earth Energy EV ,Glyde+,92000,N/A,100,Electric Bike,110,90,https://www.carandbike.com/earth-energy-ev-bikes/glyde-plus
Ather,450-,118995,N/A,100,Electric Bike,108,80,https://www.carandbike.com/ather-bikes/450
Bajaj ,Platina 100,52915,102,96.9,Petrol Bike,117,90,https://www.carandbike.com/bajaj-bikes/platina-100
Bajaj Chetak,Chetak bikes/chetak,100000,N/A,95,Electric Bike,100,80,https://www.carandbike.com/bajaj-bikes/chetak
Bajaj CT 100,Ct 100,40794,102,89.5,Petrol Bike,114,90,https://www.carandbike.com/bajaj-bikes/ct-100
Hero ,Hf-Deluxe i3s,59800,97.2,88.5,Petrol Bike,110,90,https://www.carandbike.com/hero-bikes/hf-deluxe-i3s
TVS ,Star-City plus,65865,109.7,86,Petrol Bike,116,90,https://www.carandbike.com/tvs-bikes/star-city-plus
Hero Electric ,Flash lx,59640,N/A,85,Electric Bike,69,42,https://www.carandbike.com/hero-electric-bikes/flash-lx
Hero Electric ,Atria lx,66640,N/A,85,Electric Bike,69,25,https://www.carandbike.com/hero-electric-bikes/atria-lx
Ampere ,Zeal ex,74489,N/A,85,Electric Bike,78,50,https://www.carandbike.com/ampere-bikes/zeal-ex
Hero ,Passion-Pro i3s,67400,113.2,84,Petrol Bike,117,90,https://www.carandbike.com/hero-bikes/passion-pro-i3s
Bounce,Infinity e1,45099,N/A,83,Electric Bike,94,65,https://www.carandbike.com/bounce-bikes/infinity-e1
Hero,Hf deluxe,48950,97.2,83,Petrol Bike,109,85,https://www.carandbike.com/hero-bikes/hf-deluxe
Hero Electric ,Optima hx,55580,N/A,82,Electric Bike,73,42,https://www.carandbike.com/hero-electric-bikes/optima-hx
Polarity ,Executive ,38000,N/A,80,Electric Bike,55,40,https://www.carandbike.com/polarity-bikes/executive
Polarity ,Sport ,40000,N/A,80,Electric Bike,55,45,https://www.carandbike.com/polarity-bikes/sport
Bajaj ,Platina 110,65930,115,80,Petrol Bike,108,90,https://www.carandbike.com/bajaj-bikes/platina-110
Gemopai ,Astrid lite,84787,N/A,80,Electric Bike,96,65,https://www.carandbike.com/gemopai-bikes/astrid-lite
Kawasaki ,Klx 110,299500,112,80,Petrol Bike,76,50,https://www.carandbike.com/kawasaki-bikes/klx-110
TVS ,Sport ,52500,109.7,76.4,Petrol Bike,110,90,https://www.carandbike.com/tvs-bikes/sport
Hero ,Splendor ismart,65950,113.2,75,Petrol Bike,116,92,https://www.carandbike.com/hero-bikes/splendor-ismart
Odysse ,V2,75000,N/A,75,Electric Bike,75,25,https://www.carandbike.com/odysse-bikes/v2
Ampere,Magnus pro,79966,N/A,75,Electric Bike,94,55,https://www.carandbike.com/ampere-bikes/magnus-pro
TVS ,Iqube,166358,N/A,75,Electric Bike,118,78,https://www.carandbike.com/tvs-bikes/iqube
Honda,Cd-110 dream,65248,109.5,74,Petrol Bike,109,86,https://www.carandbike.com/honda-bikes/cd-110-dream
Honda,Livo,70799,109.5,74,Petrol Bike,115,86,https://www.carandbike.com/honda-bikes/livo
TVS,Victor,54042,109.7,72,Petrol Bike,112,94,https://www.carandbike.com/tvs-bikes/victor
Hero,Hf 100,49400,97.2,70,Petrol Bike,110,90,https://www.carandbike.com/hero-bikes/hf-100
Odysse,Racer,59500,N/A,70,Electric Bike,100,45,https://www.carandbike.com/odysse-bikes/racer
Bgauss,B8,62999,N/A,70,Electric Bike,88,50,https://www.carandbike.com/bgauss-bikes/b8
Hero,Splendor plus,69380,97.2,70,Petrol Bike,110,93,https://www.carandbike.com/hero-bikes/splendor-plus
Ampere,Zeal,74490,N/A,70,Electric Bike,75,55,https://www.carandbike.com/ampere-bikes/zeal
TVS,Radeon,59942,109.7,69,Petrol Bike,116,95,https://www.carandbike.com/tvs-bikes/radeon
Hero,Pleasure-Plus 110,61900,110.9,69,Petrol Bike,104,77,https://www.carandbike.com/hero-bikes/pleasure-plus-110
TVS,Xl 100,40990,99.7,67,Petrol Bike,88,60,https://www.carandbike.com/tvs-bikes/xl-100
TVS ,Raider,84573,124.8,67,Petrol Bike,123,100,https://www.carandbike.com/tvs-bikes/raider
Yamaha,Fascino 125,70000,125,66,Petrol Bike,99,90,https://www.carandbike.com/yamaha-bikes/fascino-125
Yamaha,Ray-Zr 125fi,73330,125,66,Petrol Bike,99,91,https://www.carandbike.com/yamaha-bikes/ray-zr-125fi
Hero,Splendor pro,49598,97.2,65,Petrol Bike,112,87,https://www.carandbike.com/hero-bikes/splendor-pro
TVS,Scooty-Pep plus,52554,87.8,65,Petrol Bike,95,65,https://www.carandbike.com/tvs-bikes/scooty-pep-plus
Hero,Maestro edge,65900,110.9,65,Petrol Bike,112,80,https://www.carandbike.com/hero-bikes/maestro-edge
Honda,Cb shine,72787,124.7,65,Petrol Bike,114,100,https://www.carandbike.com/honda-bikes/cb-shine
Honda,Sp 125,78381,124,65,Petrol Bike,117,100,https://www.carandbike.com/honda-bikes/sp-125
Bajaj,Pulsar 150,95872,149.5,65,Petrol Bike,144,112,https://www.carandbike.com/bajaj-bikes/pulsar-150
Suzuki,New-Access 125,72600,124,64,Petrol Bike,103,90,https://www.carandbike.com/suzuki-bikes/new-access-125
Suzuki,Gixxer,118800,154.9,64,Petrol Bike,140,115,https://www.carandbike.com/suzuki-bikes/gixxer
TVS,Scooty-Zest 110,59925,109.7,62,Petrol Bike,97,80,https://www.carandbike.com/tvs-bikes/scooty-zest-110
TVS,Jupiter,70085,109.7,62,Petrol Bike,109,85,https://www.carandbike.com/tvs-bikes/jupiter
Bajaj,Pulsar 125,72122,124.4,62,Petrol Bike,140,105,https://www.carandbike.com/bajaj-bikes/pulsar-125
Honda,Cb-Unicorn 160,98931,162.7,62,Petrol Bike,134,101.9,https://www.carandbike.com/honda-bikes/cb-unicorn-160
Lohia,Omastar,40850,N/A,60,Electric Bike,66,25,https://www.carandbike.com/lohia-bikes/omastar
Okinawa,R30,58992,N/A,60,Electric Bike,150,25,https://www.carandbike.com/okinawa-bikes/r30
Okinawa,Dual,58998,N/A,60,Electric Bike,96,25,https://www.carandbike.com/okinawa-bikes/dual
Hero,Super splendor,73900,124.7,60,Petrol Bike,123,100,https://www.carandbike.com/hero-bikes/super-splendor
Hero,Glamour 125,74900,124.7,60,Petrol Bike,126,91,https://www.carandbike.com/hero-bikes/glamour-125
TVS,Ntorq 125,77106,124.8,60,Petrol Bike,118,95,https://www.carandbike.com/tvs-bikes/ntorq-125
Kawasaki ,Klx 140g,406600,144,60,Petrol Bike,99,70,https://www.carandbike.com/kawasaki-bikes/klx-140g
Evolet ,Pony,39499,N/A,55,Electric Bike,82,25,https://www.carandbike.com/evolet-bikes/pony
Evolet ,Polo ,44499,N/A,55,Electric Bike,82,25,https://www.carandbike.com/evolet-bikes/polo
Evolet,Derby ,46499,N/A,55,Electric Bike,82,25,https://www.carandbike.com/evolet-bikes/derby
Ampere ,Reo elite,47264,N/A,55,Electric Bike,68,25,https://www.carandbike.com/ampere-bikes/reo-elite
Honda ,Dio,64510,109.5,55,Petrol Bike,103,83,https://www.carandbike.com/honda-bikes/dio
Suzuki,Avenis ,86500,124.3,55,Petrol Bike,106,90,https://www.carandbike.com/suzuki-bikes/avenis
Hero ,Xtreme 160r,111610,163,55,Petrol Bike,139,115,https://www.carandbike.com/hero-bikes/xtreme-160r
Kawasaki ,Kx 100,487800,99,55,Petrol Bike,77,75,https://www.carandbike.com/kawasaki-bikes/kx-100
Hero ,Destini 125,67990,124.6,54,Petrol Bike,113,80,https://www.carandbike.com/hero-bikes/destini-125
Honda ,Grazia,82566,124,54,Petrol Bike,107,92,https://www.carandbike.com/honda-bikes/grazia
Suzuki ,Burgman,84300,124,53.5,Petrol Bike,110,96,https://www.carandbike.com/suzuki-bikes/burgman
Okinawa,Lite bikes,59990,N/A,50,Electric Bike,150,25,https://www.carandbike.com/okinawa-bikes/lite
TVS ,Jupiter 125,73400,124.8,50,Petrol Bike,109,90,https://www.carandbike.com/tvs-bikes/jupiter-125
Bajaj,Pulsar-Ns 125,93818,124.4,50,Petrol Bike,144,105,https://www.carandbike.com/bajaj-bikes/pulsar-ns-125
Hero,Maestro-Edge 125,73450,124.6,49,Petrol Bike,110,90,https://www.carandbike.com/hero-bikes/maestro-edge-125
TVS,Apache-Rtr 160,112940,159.7,48,Petrol Bike,139,107,https://www.carandbike.com/tvs-bikes/apache-rtr-160
Yamaha,Mt 15,144900,155,48,Petrol Bike,138,130,https://www.carandbike.com/yamaha-bikes/mt-15
Yamaha ,Mt-15 v20,160900,155,48,Petrol Bike,139,140,https://www.carandbike.com/yamaha-bikes/mt-15-v20
TVS,Apache-Rtr 180,103950,177.4,47,Petrol Bike,139,113,https://www.carandbike.com/tvs-bikes/apache-rtr-180
Suzuki,Gixxer sf,129300,154.9,47,Petrol Bike,146,127,https://www.carandbike.com/suzuki-bikes/gixxer-sf
Yamaha,R15S v30,158939,155,47,Petrol Bike,142,136,https://www.carandbike.com/yamaha-bikes/r15s-v30
Ampere ,V48,38719,N/A,45,Electric Bike,84,25,https://www.carandbike.com/ampere-bikes/v48
Ampere,Reo,44838,N/A,45,Electric Bike,70,25,https://www.carandbike.com/ampere-bikes/reo
Ampere,Magnus,45999,N/A,45,Electric Bike,94,25,https://www.carandbike.com/ampere-bikes/magnus
Honda,Activa 6g,69645,109.5,45,Petrol Bike,107,85,https://www.carandbike.com/honda-bikes/activa-6g
Honda,Activa-125 fi,72637,124,45,Petrol Bike,111,93.84,https://www.carandbike.com/honda-bikes/activa-125-fi
Piaggio,Vespa,91492,125,45,Petrol Bike,114,90,https://www.carandbike.com/piaggio-bikes/vespa
Yamaha,Fz-V30 fi,99200,149,45,Petrol Bike,137,112,https://www.carandbike.com/yamaha-bikes/fz-v30-fi
Bajaj,Avenger-Street 160,101094,160.3,45,Petrol Bike,156,105,https://www.carandbike.com/bajaj-bikes/avenger-street-160
Bajaj,Avenger-Street 220,103891,220,45,Petrol Bike,150,120,https://www.carandbike.com/bajaj-bikes/avenger-street-220
Bajaj,Pulsar 180,108000,178.6,45,Petrol Bike,151,122,https://www.carandbike.com/bajaj-bikes/pulsar-180
Bajaj,Pulsar ns160,110086,160.3,45,Petrol Bike,151,120,https://www.carandbike.com/bajaj-bikes/pulsar-ns160
Honda,X blade,111895,162.7,45,Petrol Bike,143,120,https://www.carandbike.com/honda-bikes/x-blade
Yamaha,Fz-S-V30 fi,115900,149,45,Petrol Bike,135,115,https://www.carandbike.com/yamaha-bikes/fz-s-v30-fi
Yamaha,Fz x,116800,149,45,Petrol Bike,139,115,https://www.carandbike.com/yamaha-bikes/fz-x
Piaggio,Vespa 150,122664,154.8,45,Petrol Bike,114,90,https://www.carandbike.com/piaggio-bikes/vespa-150
Royal Enfield,Bullet 350,127094,346,45,Petrol Bike,183,110,https://www.carandbike.com/royal-enfield-bikes/bullet-350
Yamaha,Aerox 155,129000,155,45,Petrol Bike,122,120,https://www.carandbike.com/yamaha-bikes/aerox-155
TVS Apache,Apache-Rtr-165 rp,145001,164.9,45,Petrol Bike,148,123,https://www.carandbike.com/tvs-bikes/apache-rtr-165-rp
Yamaha,Yzf-R15 v40,170800,155,45,Petrol Bike,142,140,https://www.carandbike.com/yamaha-bikes/yzf-r15-v40
Royal Enfield ,Himalayan,210784,411,45,Petrol Bike,191,145,https://www.carandbike.com/royal-enfield-bikes/himalayan
Suzuki ,Intruder ,126500,154.9,44,Petrol Bike,152,115,https://www.carandbike.com/suzuki-bikes/intruder
Hero ,Xpulse 200t,115800,199.6,43,Petrol Bike,154,115,https://www.carandbike.com/hero-bikes/xpulse-200t
Yamaha,Fz 25,134800,249,43,Petrol Bike,153,134,https://www.carandbike.com/yamaha-bikes/fz-25
Yamaha ,Fzs 25,143300,249,43,Petrol Bike,154,134,https://www.carandbike.com/yamaha-bikes/fzs-25
Yamaha,Fazer 25,144180,249,43,Petrol Bike,154,134,https://www.carandbike.com/yamaha-bikes/fazer-25
Hero ,Xpulse 200,118230,199.6,42,Petrol Bike,157,134,https://www.carandbike.com/hero-bikes/xpulse-200
TVS ,Apache-Rtr-200-Fi e100,120000,197.8,42,Petrol Bike,152,129,https://www.carandbike.com/tvs-bikes/apache-rtr-200-fi-e100
Honda,H-Ness-Cb 350,196239,348.4,42,Petrol Bike,181,125,https://www.carandbike.com/honda-bikes/h-ness-cb-350
Royal Enfield ,Meteor 350,205844,349,41.88,Petrol Bike,183,120,https://www.carandbike.com/royal-enfield-bikes/meteor-350
KTM,Rc 125,180538,124.7,41.3,Petrol Bike,135,120,https://www.carandbike.com/ktm-bikes/rc-125
Aprilia,Sr 150,75733,154.8,40,Petrol Bike,122,95,https://www.carandbike.com/aprilia-bikes/sr-150
Aprilia ,Storm 125,85431,124.5,40,Petrol Bike,122,90,https://www.carandbike.com/aprilia-bikes/storm-125
Aprilia ,Sr 125,107595,125,40,Petrol Bike,122,90,https://www.carandbike.com/aprilia-bikes/sr-125
Aprilia ,Sxr 125,115000,125,40,Petrol Bike,129,90,https://www.carandbike.com/aprilia-bikes/sxr-125
Bajaj,Avenger-Cruise 220,122630,220,40,Petrol Bike,159,120,https://www.carandbike.com/bajaj-bikes/avenger-cruise-220
Bajaj,Pulsar 220,123245,220,40,Petrol Bike,155,120,https://www.carandbike.com/bajaj-bikes/pulsar-220
Hero,Xpulse-200 4v,130150,199.6,40,Petrol Bike,158,115,https://www.carandbike.com/hero-bikes/xpulse-200-4v
Honda,Hornet 20,132238,184.4,40,Petrol Bike,142,130,https://www.carandbike.com/honda-bikes/hornet-20
Bajaj ,Pulsar f250,140000,249.1,40,Petrol Bike,164,130,https://www.carandbike.com/bajaj-bikes/pulsar-f250
Honda,Cb200X,144500,184.4,40,Petrol Bike,147,130,https://www.carandbike.com/honda-bikes/cb200x
Suzuki ,Gixxer-Sf 250,181900,249,38.5,Petrol Bike,161,117,https://www.carandbike.com/suzuki-bikes/gixxer-sf-250
Suzuki,Gixxer 250,171200,249,38,Petrol Bike,156,122.73,https://www.carandbike.com/suzuki-bikes/gixxer-250
JAWA,Forty two,171415,293,37.5,Petrol Bike,170,120,https://www.carandbike.com/jawa-bikes/forty-two
JAWA,300-,180415,293,37.5,Petrol Bike,170,120,https://www.carandbike.com/jawa-bikes/300
Royal Enfield,Classic 350,184374,349,37,Petrol Bike,195,115,https://www.carandbike.com/royal-enfield-bikes/classic-350
JAWA,42-,193142,293,37,Petrol Bike,170,129.46,https://www.carandbike.com/jawa-bikes/42
Benelli,Leoncino 250,250000,249,37,Petrol Bike,162,154,https://www.carandbike.com/benelli-bikes/leoncino-250
Hero,Xtreme 200s,120214,199.6,36.9,Petrol Bike,155,115,https://www.carandbike.com/hero-bikes/xtreme-200s
Aprilia,Sr 160,117494,160,35,Petrol Bike,122,95,https://www.carandbike.com/aprilia-bikes/sr-160
Aprilia,Sxr 160,126000,160,35,Petrol Bike,129,100,https://www.carandbike.com/aprilia-bikes/sxr-160
Bajaj,Pulsar-200 ns,131219,199.5,35,Petrol Bike,152,136,https://www.carandbike.com/bajaj-bikes/pulsar-200-ns
Bajaj ,Pulsar n250,138000,249.1,35,Petrol Bike,162,130,https://www.carandbike.com/bajaj-bikes/pulsar-n250
Bajaj,Pulsar-Rs 200,152179,199.5,35,Petrol Bike,165,140.8,https://www.carandbike.com/bajaj-bikes/pulsar-rs-200
Bajaj ,Dominar 250,154176,248.8,35,Petrol Bike,180,132,https://www.carandbike.com/bajaj-bikes/dominar-250
KTM,200 duke,190000,199.5,35,Petrol Bike,159,142,https://www.carandbike.com/ktm-bikes/200-duke
Honda,Cb-350 rs,196006,348.4,35,Petrol Bike,179,135,https://www.carandbike.com/honda-bikes/cb-350-rs
JAWA,Perak,208187,334,35,Petrol Bike,175,140,https://www.carandbike.com/jawa-bikes/perak
KTM,Rc 200,213000,199.5,35,Petrol Bike,151,170,https://www.carandbike.com/ktm-bikes/rc-200
Husqvarna,Vitpilen 250,215000,248.8,35,Petrol Bike,152,157,https://www.carandbike.com/husqvarna-bikes/vitpilen-250
Husqvarna,Svartpilen 250,218000,248.8,35,Petrol Bike,154,157,https://www.carandbike.com/husqvarna-bikes/svartpilen-250
KTM,250 adventure,242000,248,35,Petrol Bike,177,140,https://www.carandbike.com/ktm-bikes/250-adventure
KTM,390 duke,287545,373.2,35,Petrol Bike,167,167,https://www.carandbike.com/ktm-bikes/390-duke
KTM,Rc 390,314000,373.2,35,Petrol Bike,147,200,https://www.carandbike.com/ktm-bikes/rc-390
KTM,125 duke,176000,124.7,34.5,Petrol Bike,148,120,https://www.carandbike.com/ktm-bikes/125-duke
Cleveland Cyclewerks,Ace deluxe,223000,229,33.98,Petrol Bike,133,113,https://www.carandbike.com/cleveland-cyclewerks-bikes/ace-deluxe
Suzuki V-Stro,V-Strom-Sx 250,211600,249,33,Petrol Bike,167,150,https://www.carandbike.com/suzuki-bikes/v-strom-sx-250
CFMoto,300Nk,229000,292.4,33,Petrol Bike,151,150,https://www.carandbike.com/cfmoto-bikes/300nk
TVS,Apache-Rtr-200 4v,129315,197.8,32,Petrol Bike,149,127,https://www.carandbike.com/tvs-bikes/apache-rtr-200-4v
Benelli,Imperiale 400,189799,374,31.25,Petrol Bike,205,120,https://www.carandbike.com/benelli-bikes/imperiale-400
Benelli,Trk 502,486000,500,30.97,Petrol Bike,235,160,https://www.carandbike.com/benelli-bikes/trk-502
Honda,Cb300R,277000,286,30.2,Petrol Bike,146,160,https://www.carandbike.com/honda-bikes/cb300r
TVS,Apache-Rtr-160 4v,111565,159.7,30,Petrol Bike,145,113,https://www.carandbike.com/tvs-bikes/apache-rtr-160-4v
Yamaha,R15 v30,157600,155,30,Petrol Bike,142,136,https://www.carandbike.com/yamaha-bikes/r15-v30
Yezdi,Roadster,198142,334,30,Petrol Bike,184,140,https://www.carandbike.com/yezdi-bikes/roadster
Royal Enfield,Scram 411,203000,411,30,Petrol Bike,185,140,https://www.carandbike.com/royal-enfield-bikes/scram-411
